,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,In zone Edge / Center-point Cumulative Duration s,In zone Peripheral / Center-point Cumulative Duration s,In zone Center / Center-point Cumulative Duration s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZ,In zone 2 1 / Center-point Frequency,In zone 2 2 / Center-point Frequency,In zone 2 3 / Center-point Frequency,In zone 2 4 / Center-point Frequency,In zone 2 5 / Center-point Frequency,In zone 2 6 / Center-point Frequency,In zone 2 7 / Center-point Frequency,In zone 2 8 / Center-point Frequency,In zone 2 9 / Center-point Frequency,In zone 2 10 / Center-point Frequency,In zone 2 11 / Center-point Frequency,In zone 2 12 / Center-point Frequency,In zone 2 13 / Center-point Frequency,In zone 2 14 / Center-point Frequency,In zone 2 15 / Center-point Frequency,In zone 2 16 / Center-point Frequency,In zone 2 17 / Center-point Frequency,In zone 2 18 / Center-point Frequency,In zone 2 19 / Center-point Frequency,In zone 2 20 / Center-point Frequency,In zone 2 21 / Center-point Frequency,In zone 2 22 / Center-point Frequency,In zone 2 23 / Center-point Frequency,In zone 2 24 / Center-point Frequency,In zone 2 25 / Center-point Frequency,In zone 2 26 / Center-point Frequency,In zone 2 27 / Center-point Frequency,In zone 2 28 / Center-point Frequency,In zone 2 29 / Center-point Frequency,In zone 2 30 / Center-point Frequency,In zone 2 31 / Center-point Frequency,In zone 2 32 / Center-point Frequency,In zone 2 33 / Center-point Frequency,In zone 2 34 / Center-point Frequency,In zone 2 35 / Center-point Frequency,In zone 2 36 / Center-point Frequency,Velocity Center-point Mean cm/s
Trial    54,Arena 1,AD_CS2_147_143_141,11:31,340,2,1,27,8/18/2016,AW,,453.364,174.84,9.8,3.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,32,4,5,5,5,5,5,4,1,1,1,1,5,4,1,0,1,1,3,3,1,1,2,0,3,3,0,3,3,0,3,3,2,3,3,3,3,2.30743
Trial    54,Arena 2,AD_CS2_151_143_6,11:31,571,2,2,27,8/18/2016,AW,,221.36,193.88,2.64,-,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,19,2,2,2,3,4,4,1,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,1,1,3,0,1,2,2,1,2,1.12663
Trial    54,Arena 3,AD_CS2_147_143_130,11:31,369,2,3,27,8/18/2016,AW,,323.262,158.72,29.84,5.04,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,31,1,2,1,3,5,4,2,0,1,2,1,3,2,0,1,2,3,4,3,2,1,0,1,3,2,1,0,0,1,4,3,3,2,2,3,4,1.65132
Trial    54,Arena 4,AD_CS2_151_143_13,11:31,402,2,4,27,8/18/2016,AW,,605.061,187.12,6.92,1.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,34,3,4,5,5,4,4,2,1,1,1,1,4,2,2,1,0,1,4,3,1,2,2,2,6,5,2,0,1,1,7,5,8,8,9,11,9,3.07951
Trial    55,Arena 1,AD_CS2_134_132_104,11:45,474,2,1,27,8/18/2016,AW,,271.676,165.88,17.68,5.24,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,27,2,2,2,2,2,3,2,0,0,2,3,3,3,2,2,3,2,0,2,0,0,1,0,0,2,0,1,1,1,0,2,2,1,1,1,1,1.37795
Trial    55,Arena 2,AD_CS2_102_114_52,11:45,710,2,2,27,8/18/2016,AW,,68.2581,166.2,15.2,5.8,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,2,1,0,0,0,0.346206
Trial    55,Arena 3,AD_CS2_151_143_32,11:45,412,2,3,27,8/18/2016,AW,,504.629,186.6,0.96,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,22,4,3,3,3,3,3,5,0,0,0,0,3,5,0,0,0,0,4,6,0,0,0,0,4,7,0,0,1,1,4,8,8,7,6,6,5,2.65538
Trial    55,Arena 4,AD_CS2_147_143_142,11:45,394,2,4,27,8/18/2016,AW,,308.168,182.72,5.6,2.56,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,27,3,3,2,2,2,2,3,1,1,0,0,3,3,1,1,0,0,3,3,1,0,0,0,3,3,0,1,0,1,4,3,3,4,3,3,3,1.5836
Trial    56,Arena 1,AD_CS2_151_143_19,12:00,413,2,1,27,8/18/2016,AW,,696.864,192,1.24,-,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,22,9,9,8,7,7,7,9,1,0,0,0,5,7,0,0,0,0,5,7,0,0,0,0,5,7,0,0,0,1,5,6,5,5,5,5,4,3.52165
Trial    56,Arena 2,AD_CS2_102_114_51,12:00,577,2,2,27,8/18/2016,AW,,73.9233,195.6,2.32,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,2,2,1,1,2,1,0.373577
Trial    56,Arena 3,AD_CS2_102_114_95,12:00,380,2,3,27,8/18/2016,AW,,326.311,184.64,3.56,0.36,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,25,4,4,4,3,3,1,4,0,0,1,2,2,4,0,0,0,0,2,5,0,0,1,1,2,5,0,0,1,0,1,4,2,1,2,1,1,1.68828
Trial    56,Arena 4,AD_CS2_134_132_100,12:00,440,2,4,27,8/18/2016,AW,I,275.968,174.24,15.8,1.24,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,30,2,2,2,2,1,1,2,1,1,1,1,2,2,0,0,0,1,3,3,2,0,1,0,3,1,1,0,1,1,3,2,3,3,3,3,3,1.39462
Trial    57,Arena 1,AD_CS2_147_143_122,11:02,430,2,1,26,8/19/2016,JD,,557.079,191.12,6.96,1.72,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,32,5,5,5,5,5,5,5,1,1,1,0,3,6,1,0,0,1,3,4,2,2,1,2,3,5,0,1,1,2,5,4,5,4,5,5,4,2.72384
Trial    57,Arena 2,AD_CS2_102_114_88,11:02,435,2,2,26,8/19/2016,JD,,170.195,200.96,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,17,2,3,3,3,3,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,1,0.832169
Trial    57,Arena 3,AD_CS2_151_143_11,11:02,698,2,3,26,8/19/2016,JD,,375.69,189.88,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,4,3,3,2,1,3,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,4,4,4,4,4,1.92346
Trial    57,Arena 4,AD_CS2_147_143_113,11:02,404,2,4,26,8/19/2016,JD,,136.572,99.4,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,2,2,1,1,1,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,1,2,1,1,1,1,1,1.31218
Trial    58,Arena 1,AD_CS2_151_143_12,11:17,910,2,1,26,8/19/2016,JD,,691.445,168.12,21.04,4.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,35,3,4,2,5,6,5,5,7,2,6,4,5,6,3,2,2,2,3,5,2,1,2,2,4,7,1,1,0,2,5,7,6,6,6,7,6,3.50703
Trial    58,Arena 2,AD_CS2_147_143_136,11:17,586,2,2,26,8/19/2016,JD,,13.8941,206.4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.0673295
Trial    58,Arena 3,AD_CS2_151_143_5,11:17,402,2,3,26,8/19/2016,JD,,358.649,180,14.96,10.88,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,29,4,3,4,4,4,4,4,1,1,1,0,3,2,1,2,0,0,3,2,0,2,1,1,3,2,0,1,0,0,2,3,3,3,2,2,2,1.77549
Trial    58,Arena 4,AD_CS2_147_143_132,11:17,394,2,4,26,8/19/2016,JD,,551.182,199.68,0.68,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,22,5,5,5,5,5,5,5,0,0,0,0,5,5,0,0,0,1,4,5,0,0,0,1,5,5,0,0,0,0,5,6,6,6,6,6,6,2.67098
Trial    59,Arena 1,AD_CS2_151_143_20,9:42,,2,1,25,8/22/2016,JD,D,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trial    59,Arena 2,AD_CS2_147_143_128,9:42,300,2,2,25,8/22/2016,JD,,362.378,173.16,13.24,5.56,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,34,3,3,3,3,2,2,4,1,0,1,1,2,4,1,1,2,3,3,4,1,1,1,1,2,5,1,1,0,1,2,3,2,1,1,2,2,1.79608
Trial    59,Arena 3,AD_CS2_102_114_45,9:42,326,2,3,25,8/22/2016,JD,,206.33,200.6,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,2,2,1,1,1,2,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,3,1,2,2,3,3,3,1.02224
Trial    59,Arena 4,AD_CS2_151_143_9,9:42,624,2,4,25,8/22/2016,JD,,150.964,192.16,3.68,3.32,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,2,0,1,1,1,0,0,2,2,2,1,1,1,1,2,3,0.748236
Trial    60,Arena 1,AD_CS2_134_132_29,9:58,326,2,1,25,8/22/2016,JD,,404.004,203.84,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,4,3,3,3,3,3,5,0,0,0,0,3,5,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,4,4,4,4,4,4,5,1.94495
Trial    60,Arena 2,AD_CS2_102_114_91,9:58,347,2,2,25,8/22/2016,JD,,176.478,127.48,12.8,7.6,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,21,0,0,0,0,0,1,0,0,0,1,2,3,0,0,1,1,2,4,0,0,1,1,1,4,0,0,0,1,2,3,1,1,1,2,4,3,1.21041
Trial    60,Arena 3,AD_CS2_147_143_140,9:58,605,2,3,25,8/22/2016,JD,,556.253,160.16,35.4,8.48,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,4,4,4,3,3,2,7,5,5,3,0,3,6,2,2,2,2,4,5,6,3,4,2,3,5,4,1,7,3,3,4,4,4,5,2,2,2.6779
Trial    60,Arena 4,AD_CS2_102_114_96,9:58,389,2,4,25,8/22/2016,JD,,329.239,201.68,2.4,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,22,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,4,1,1,0,0,3,4,2,3,3,3,3,1.58501
Trial    61,Arena 1,AD_CS2_134_132_27,10:19,514,2,1,26,8/22/2016,JD,,81.6796,207.28,-,-,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,15,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0.39413
Trial    61,Arena 2,AD_CS2_102_114_76,10:19,,2,2,26,8/22/2016,JD,D,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trial    61,Arena 3,AD_CS2_151_143_14,10:19,,2,3,26,8/22/2016,JD,D,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trial    61,Arena 4,AD_CS2_147_143_115,10:19,552,2,4,26,8/22/2016,JD,,541.738,182.44,11.16,5.52,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,30,3,2,2,2,3,3,3,1,0,0,1,3,6,4,3,3,2,3,6,0,0,0,2,3,6,1,1,0,1,6,6,6,6,6,9,9,2.62266
Trial    62,Arena 1,AD_CS2_147_143_108,10:35,547,2,1,26,8/22/2016,JD,,193.694,185.56,7.08,15.24,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,22,1,2,2,1,2,3,0,0,1,0,0,3,0,0,2,0,0,3,1,1,2,1,1,3,1,0,0,0,1,3,1,0,0,0,2,3,0.939895
Trial    62,Arena 2,AD_CS2_151_143_34,10:35,523,2,2,26,8/22/2016,JD,,91.8918,199.64,1.96,1.48,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,1,1,2,2,1,0,0,1,1,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446163
Trial    62,Arena 3,AD_CS2_151_143_22,10:35,427,2,3,26,8/22/2016,JD,,523.536,201.68,0.52,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,21,4,4,4,4,5,6,4,0,0,0,0,6,4,0,0,0,0,6,4,0,0,0,0,5,4,0,0,0,1,5,5,7,7,7,7,5,2.55135
Trial    62,Arena 4,AD_CS2_151_143_30,10:35,524,2,4,26,8/22/2016,JD,,797.166,193.16,9.36,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,4,4,3,3,4,6,4,1,1,1,2,7,4,0,1,1,4,8,6,1,1,0,3,8,8,1,1,1,2,9,8,10,10,10,12,11,3.86823
Trial    63,Arena 1,AD_CS2_147_143_131,10:53,709,2,1,26,8/22/2016,JD,,145.782,195.96,14.8,0.84,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,26,1,1,1,1,1,0,1,0,1,1,2,0,1,1,1,0,2,1,0,0,0,0,1,1,1,0,0,1,1,1,2,2,2,2,1,1,0.685969
Trial    63,Arena 2,AD_CS2_102_114_57,10:53,336,2,2,26,8/22/2016,JD,,0,210,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    63,Arena 3,AD_CS2_102_114_97,10:53,543,2,3,26,8/22/2016,JD,,675.694,198.8,9.2,-,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,5,7,6,5,6,6,6,2,1,1,0,6,7,1,0,0,1,6,7,0,0,0,1,6,7,1,1,1,2,7,5,6,6,6,7,6,3.17466
Trial    63,Arena 4,AD_CS2_134_132_31,10:53,487,2,4,26,8/22/2016,JD,,336.255,186.48,8.96,1.76,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,29,4,5,4,4,3,3,2,1,1,1,0,3,2,1,2,0,0,3,2,1,2,0,0,3,2,1,1,0,0,3,1,2,4,4,3,3,1.59302
Trial    64,Arena 1,AD_CS2_134_132_146,11:10,267,2,1,26,8/22/2016,JD,,338.585,188.56,9.92,4.52,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,29,3,3,2,2,2,2,3,1,0,0,0,2,3,2,1,1,1,3,4,2,1,0,0,3,4,0,1,1,0,3,3,3,3,3,2,3,1.62844
Trial    64,Arena 2,AD_CS2_102_114_73,11:10,377,2,2,26,8/22/2016,JD,,324.23,204.16,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,3,3,3,3,3,1.5594
Trial    64,Arena 3,AD_CS2_147_143_137,11:10,,2,3,26,8/22/2016,JD,D,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trial    64,Arena 4,AD_CS2_102_114_83,11:10,565,2,4,26,8/22/2016,JD,,205.48,186.44,17.8,0.44,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,29,2,2,2,1,1,1,2,1,2,1,0,1,1,2,1,1,1,1,0,2,0,0,1,2,2,1,0,0,0,2,2,2,2,2,2,2,0.988264
Trial    65,Arena 1,AD_CS2_102_114_81,9:44,363,2,1,26,8/24/2016,JD,,319.537,197.92,4.64,3.48,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,28,5,5,5,3,2,2,5,0,1,0,0,2,3,1,2,1,1,2,3,0,1,0,0,1,3,1,1,0,0,1,3,2,1,1,1,1,1.52976
Trial    65,Arena 2,AD_CS2_151_143_33,9:44,420,2,2,26,8/24/2016,JD,,167.214,203.84,2.92,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,21,1,1,1,1,2,2,1,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,1,4,2,0,0,0,1,3,2,1,1,1,1,0.800524
Trial    65,Arena 3,AD_CS2_102_114_54,9:44,332,2,3,26,8/24/2016,JD,,390.079,199.04,5.88,0.2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,28,4,4,4,4,4,5,4,0,1,1,2,4,4,1,1,0,1,3,3,0,0,0,0,2,3,1,1,0,0,2,2,3,3,4,3,2,1.86748
Trial    65,Arena 4,AD_CS2_102_114_44,9:44,671,2,4,26,8/24/2016,JD,,0,208.92,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    66,Arena 1,AD_CS2_134_132_143,10:02,378,2,1,26,8/24/2016,JD,,242.985,179.64,24.32,6.16,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,26,3,5,5,6,4,3,1,1,1,4,2,3,1,0,1,1,1,2,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1.17225
Trial    66,Arena 2,AD_CS2_134_132_35,10:02,494,2,2,26,8/24/2016,JD,,385.275,182.24,12.96,3.8,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,31,1,3,3,3,3,4,3,1,0,0,0,3,3,2,1,1,0,3,1,2,1,2,1,4,2,3,0,2,1,5,3,4,3,3,3,4,1.85872
Trial    66,Arena 3,AD_CS2_147_143_106,10:02,515,2,3,26,8/24/2016,JD,,261.919,131.28,56.44,4.92,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,30,2,2,2,2,3,1,2,0,1,1,2,1,3,1,0,0,3,1,2,1,1,2,5,4,1,0,1,2,2,3,1,0,1,0,2,3,1.2636
Trial    66,Arena 4,AD_CS2_134_132_153,10:02,460,2,4,26,8/24/2016,JD,,330.57,180.4,17.8,1.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,29,3,3,3,3,3,3,3,1,1,2,1,2,4,1,1,0,0,2,4,0,1,0,0,2,4,0,1,1,0,2,4,3,3,3,2,2,1.59419
Trial    67,Arena 1,AD_CS2_134_132_105,10:21,277,2,1,26,8/24/2016,JD,,425.03,164.6,22.4,14.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,33,5,6,4,6,4,3,3,1,3,4,1,3,4,3,3,4,1,3,2,4,3,3,1,2,2,1,0,0,0,1,2,2,1,1,1,1,2.07372
Trial    67,Arena 2,AD_CS2_134_132_102,10:21,339,2,2,26,8/24/2016,JD,,531.966,172.08,19.48,1.64,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,32,2,1,0,2,5,4,4,2,2,1,3,3,4,1,0,0,2,3,4,2,1,1,2,3,6,4,2,0,1,4,7,7,7,5,4,4,2.61897
Trial    67,Arena 3,AD_CS2_151_143_17,10:21,768,2,3,26,8/24/2016,JD,,527.448,168.04,25.24,5.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,35,5,6,5,3,3,3,5,2,5,3,3,5,5,1,3,3,4,2,6,1,2,1,3,2,6,1,2,0,2,2,5,5,5,4,4,3,2.59417
Trial    67,Arena 4,AD_CS2_102_114_98,10:21,510,2,4,26,8/24/2016,JD,,393.64,175.44,26.2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,32,3,3,3,3,4,3,4,2,2,2,2,4,3,3,2,0,0,4,3,2,0,1,2,4,2,2,0,1,2,2,3,4,3,3,3,2,1.91982
Trial    68,Arena 1,AD_CS2_134_132_103,10:51,616,2,1,25,8/26/2016,JD,,363.415,177.48,20.32,4.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,31,3,4,4,4,5,4,5,2,1,1,2,2,5,1,1,2,2,1,5,3,1,0,1,1,6,2,0,0,0,0,4,2,1,1,1,1,1.75529
Trial    68,Arena 2,AD_CS2_134_132_151,10:51,547,2,2,25,8/26/2016,JD,,0,0.16,210,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
Trial    68,Arena 3,AD_CS2_151_143_3,10:51,878,2,3,25,8/26/2016,JD,,590.42,193,4.68,0.16,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,26,5,5,5,5,5,5,5,1,1,1,0,5,5,0,0,1,1,6,4,0,0,0,0,6,4,0,0,0,1,6,6,7,7,7,7,7,2.90047
Trial    68,Arena 4,AD_CS2_147_143_114,10:51,388,2,4,25,8/26/2016,JD,,662.019,181.6,20.72,2.56,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,30,4,5,5,5,5,6,4,0,0,0,2,8,4,0,1,1,2,7,5,2,2,1,0,7,6,3,1,0,1,7,7,6,6,7,7,6,3.20125
Trial    69,Arena 1,AD_CS2_102_114_69,11:14,428,2,1,25,8/26/2016,JD,,668.536,188.4,11.16,3.08,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,7,8,7,7,7,5,6,1,1,3,4,7,6,0,0,1,1,5,5,0,1,1,2,6,5,1,2,1,1,4,5,5,5,4,3,3,3.21845
