,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,In zone Edge / Center-point Cumulative Duration s,In zone Peripheral / Center-point Cumulative Duration s,In zone Center / Center-point Cumulative Duration s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZ,In zone 2 1 / Center-point Frequency,In zone 2 2 / Center-point Frequency,In zone 2 3 / Center-point Frequency,In zone 2 4 / Center-point Frequency,In zone 2 5 / Center-point Frequency,In zone 2 6 / Center-point Frequency,In zone 2 7 / Center-point Frequency,In zone 2 8 / Center-point Frequency,In zone 2 9 / Center-point Frequency,In zone 2 10 / Center-point Frequency,In zone 2 11 / Center-point Frequency,In zone 2 12 / Center-point Frequency,In zone 2 13 / Center-point Frequency,In zone 2 14 / Center-point Frequency,In zone 2 15 / Center-point Frequency,In zone 2 16 / Center-point Frequency,In zone 2 17 / Center-point Frequency,In zone 2 18 / Center-point Frequency,In zone 2 19 / Center-point Frequency,In zone 2 20 / Center-point Frequency,In zone 2 21 / Center-point Frequency,In zone 2 22 / Center-point Frequency,In zone 2 23 / Center-point Frequency,In zone 2 24 / Center-point Frequency,In zone 2 25 / Center-point Frequency,In zone 2 26 / Center-point Frequency,In zone 2 27 / Center-point Frequency,In zone 2 28 / Center-point Frequency,In zone 2 29 / Center-point Frequency,In zone 2 30 / Center-point Frequency,In zone 2 31 / Center-point Frequency,In zone 2 32 / Center-point Frequency,In zone 2 33 / Center-point Frequency,In zone 2 34 / Center-point Frequency,In zone 2 35 / Center-point Frequency,In zone 2 36 / Center-point Frequency,Velocity Center-point Mean cm/s
Trial     6,Arena 2,AD_CS2_151_143_21,10:54,,1,2,27,7/27/2016,JD,,75.8457,207.52,-,-,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,2,2,2,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365557
Trial     6,Arena 3,AD_CS2_147_143_131,10:54,,1,3,27,7/27/2016,JD,,242.795,207.04,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,3,3,3,3,4,3,1.16504
Trial     6,Arena 4,AD_CS2_102_114_81,10:54,,1,4,27,7/27/2016,JD,,480.452,168.64,9.84,3.92,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,30,5,6,5,4,3,3,3,0,0,1,1,4,4,0,0,0,1,6,6,2,2,1,1,7,5,0,1,3,3,4,5,4,4,4,2,1,2.58307
Trial     7,Arena 1,AD_CS2_147_143_133,11:16,,1,1,27,7/27/2016,JD,,142.759,200.68,3.84,1.52,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,4,3,2,2,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.694219
Trial     7,Arena 2,AD_CS2_147_143_108,11:16,,1,2,27,7/27/2016,JD,,207.626,174.56,14.56,16.04,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,27,1,1,1,3,3,2,1,0,1,2,1,2,1,0,1,1,2,3,1,0,1,0,1,3,1,0,0,0,2,4,1,0,0,1,2,2,1.00966
Trial     7,Arena 3,AD_CS2_102_114_51,11:16,,1,3,27,7/27/2016,JD,,476.777,178.8,0.52,-,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,21,5,5,5,5,4,4,5,0,0,0,1,6,5,0,0,0,0,5,5,0,0,0,0,4,5,0,0,0,0,4,5,4,4,4,4,4,2.57106
Trial     7,Arena 4,AD_CS2_147_143_132,11:16,,1,4,27,7/27/2016,JD,,155.268,205.2,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,1,1,1,1,1,2,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2,2,2,2,2,2,2,0.755049
Trial     8,Arena 1,AD_CS2_151_143_13,10:15,,1,1,26,7/28/2016,AW,,560.094,193.76,6.84,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,30,7,7,6,7,7,7,6,1,1,2,1,6,5,1,0,1,0,5,4,1,0,1,1,5,3,2,0,0,0,4,2,4,4,3,2,3,2.70891
Trial     8,Arena 2,AD_CS2_151_143_17,10:15,,1,2,26,7/28/2016,AW,,230.154,201.36,5.44,-,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,18,0,1,2,3,4,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,1,1,1,1,1,5,1,0,0,1,3,4,1.11314
Trial     8,Arena 3,AD_CS2_151_143_5,10:15,,1,3,26,7/28/2016,AW,,348.273,195.2,3.32,1.36,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,27,3,3,2,1,2,3,3,0,1,2,2,3,3,0,0,1,0,2,3,0,1,1,0,2,3,0,1,0,0,2,4,5,5,4,4,3,1.71462
