,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,Velocity Center-point Mean cm/s
Trial    79,Arena 4,AD_CS2_102_114_45,9:26,325,2,4,25,9/8/2016,JD,,541.757,2.62428
Trial    80,Arena 1,AD_CS2_134_132_100,9:48,508,2,1,25,9/8/2016,JD,,480.782,2.29863
Trial    80,Arena 2,AD_CS2_102_114_76,9:48,NA,2,2,25,9/8/2016,JD,D,NA,NA
Trial    80,Arena 3,AD_CS2_102_114_81,9:48,364,2,3,25,9/8/2016,JD,,518.569,2.48024
Trial    80,Arena 4,AD_CS2_147_143_133,9:48,NA,2,4,25,9/8/2016,JD,D,NA,NA
Trial    81,Arena 1,AD_CS2_151_143_30,10:04,523,2,1,26,9/8/2016,JD,,781.767,3.94673
Trial    81,Arena 2,AD_CS2_151_143_11,10:04,739,2,2,26,9/8/2016,JD,,554.666,2.81214
Trial    81,Arena 3,AD_CS2_147_143_126,10:04,382,2,3,26,9/8/2016,JD,,471.114,2.3784
Trial    81,Arena 4,AD_CS2_147_143_134,10:04,383,2,4,26,9/8/2016,JD,,581.504,2.93452
Trial    82,Arena 1,AD_CS2_134_132_31,10:22,524,2,1,26,9/8/2016,JD,,454.45,2.2277
Trial    82,Arena 2,AD_CS2_147_143_128,10:22,285,2,2,26,9/8/2016,JD,,499.011,2.46255
Trial    82,Arena 3,AD_CS2_102_114_54,10:22,322,2,3,26,9/8/2016,JD,,363.03,1.78974
Trial    82,Arena 4,AD_CS2_102_114_57,10:22,332,2,4,26,9/8/2016,JD,,645.923,3.1694
Trial    83,Arena 1,AD_CS2_102_114_62,9:28,577,2,1,25,9/9/2016,JD,,495.227,2.48758
Trial    83,Arena 2,AD_CS2_147_143_122,9:28,463,2,2,25,9/9/2016,JD,,497.977,2.50139
Trial    83,Arena 3,AD_CS2_151_143_32,9:28,406,2,3,25,9/9/2016,JD,,606.38,3.0502
Trial    83,Arena 4,AD_CS2_134_132_23,9:28,312,2,4,25,9/9/2016,JD,,689.343,3.46264
Trial    84,Arena 1,AD_CS2_102_114_93,10:07,312,2,1,25,9/9/2016,JD,,449.085,2.15823
Trial    84,Arena 2,AD_CS2_134_132_104,10:07,504,2,2,25,9/9/2016,JD,E,NA,NA
Trial    84,Arena 3,AD_CS2_134_132_103,10:07,615,2,3,25,9/9/2016,JD,,481.876,2.31582
Trial    84,Arena 4,AD_CS2_151_143_19,10:07,389,2,4,25,9/9/2016,JD,,218.557,1.05035
Trial    85,Arena 1,AD_CS2_147_143_115,10:25,581,2,1,26,9/9/2016,JD,E,NA,NA
Trial    85,Arena 2,AD_CS2_151_143_3,10:25,908,2,2,26,9/9/2016,JD,,635.971,3.02325
